Nose_x,Neck_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,MidHip_x,RHip_x,RKnee_x,RAnkle_x,LHip_x,LKnee_x,LAnkle_x,REye_x,LEye_x,REar_x,LEar_x,LBigToe_x,LSmallToe_x,LHeel_x,RBigToe_x,RSmallToe_x,RHeel_x,Nose_y,Neck_y,RShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,LWrist_y,MidHip_y,RHip_y,RKnee_y,RAnkle_y,LHip_y,LKnee_y,LAnkle_y,REye_y,LEye_y,REar_y,LEar_y,LBigToe_y,LSmallToe_y,LHeel_y,RBigToe_y,RSmallToe_y,RHeel_y,time
169.493,162.459,137.516,135.487,148.519,184.483,187.505,196.482,164.458,149.488,183.515,0.0,179.462,206.496,0.0,163.465,172.517,151.491,178.473,0.0,0.0,0.0,0.0,0.0,0.0,154.55599999999998,130.541,129.517,81.50999999999999,94.49100000000001,134.49,90.495,106.493,66.51400000000001,65.47399999999999,20.512,270.0,68.51499999999999,32.482,270.0,161.51600000000002,161.531,161.488,161.482,270.0,270.0,270.0,270.0,270.0,270.0,0.0
297.516,295.513,269.486,260.541,252.503,322.477,322.516,299.479,291.513,275.482,237.524,0.0,308.506,266.48,0.0,291.444,301.491,282.466,308.489,0.0,0.0,0.0,0.0,0.0,0.0,162.51999999999998,137.456,138.494,99.50299999999999,73.457,133.507,86.495,59.513000000000005,65.52799999999999,68.50399999999999,34.46700000000001,270.0,62.489000000000004,19.533999999999992,270.0,169.497,169.525,165.49099999999999,167.494,270.0,270.0,270.0,270.0,270.0,270.0,0.04
295.511,296.483,269.491,260.547,252.511,322.494,322.491,298.481,291.509,275.472,237.533,0.0,308.506,266.472,0.0,289.516,300.539,281.489,308.485,0.0,0.0,0.0,0.0,0.0,0.0,162.482,137.455,138.495,100.487,73.49600000000001,133.514,85.51400000000001,58.548,65.523,68.50200000000001,34.485000000000014,270.0,62.48599999999999,19.516999999999996,270.0,169.46800000000002,169.497,164.50900000000001,165.515,270.0,270.0,270.0,270.0,270.0,270.0,0.08
294.494,296.502,269.497,261.481,252.501,322.509,322.501,298.509,291.518,275.486,238.493,0.0,308.512,266.478,0.0,288.499,300.491,280.5,308.468,0.0,0.0,0.0,0.0,0.0,0.0,162.453,137.456,138.503,99.52799999999999,73.483,133.504,85.50200000000001,59.48599999999999,66.47,69.489,34.474999999999994,270.0,62.49600000000001,19.52000000000001,270.0,168.505,169.486,163.53,167.48000000000002,270.0,270.0,270.0,270.0,270.0,270.0,0.12
292.556,296.496,269.493,261.495,252.511,322.51,322.503,299.49,291.515,275.493,238.498,0.0,308.504,266.491,0.0,286.521,299.538,280.491,307.54,0.0,0.0,0.0,0.0,0.0,0.0,161.506,137.449,138.501,100.51599999999999,73.51499999999999,132.525,86.482,60.48599999999999,66.47399999999999,69.493,34.464,270.0,62.501000000000005,19.522999999999996,270.0,168.466,169.45,163.541,167.5,270.0,270.0,270.0,270.0,270.0,270.0,0.16
292.533,296.515,269.517,261.533,252.507,322.509,322.517,299.51,291.509,275.497,238.492,0.0,308.492,266.492,0.0,286.491,299.512,279.514,307.529,0.0,0.0,0.0,0.0,0.0,0.0,161.51600000000002,137.45,138.502,101.494,73.505,133.491,87.50399999999999,60.494,66.47800000000001,69.493,34.46100000000001,270.0,62.51599999999999,19.519000000000005,270.0,168.465,169.44799999999998,163.493,167.493,270.0,270.0,270.0,270.0,270.0,270.0,0.2
292.499,297.478,269.531,261.537,252.523,322.515,322.519,299.529,291.496,275.497,238.505,0.0,308.471,266.488,0.0,285.512,299.489,280.481,307.541,0.0,0.0,0.0,0.0,0.0,0.0,161.485,137.454,138.512,101.50200000000001,73.52000000000001,133.486,88.46799999999999,60.504999999999995,66.47800000000001,69.49700000000001,33.50800000000001,270.0,62.513000000000005,19.519000000000005,270.0,167.499,168.50900000000001,163.518,168.466,270.0,270.0,270.0,270.0,270.0,270.0,0.24
292.47,297.484,269.526,261.538,252.533,323.45,323.456,299.53,291.504,275.5,238.514,0.0,308.486,266.471,0.0,285.482,299.468,279.493,307.523,0.0,0.0,0.0,0.0,0.0,0.0,161.476,137.452,138.51,101.49799999999999,73.51599999999999,132.523,88.47,60.504999999999995,66.47999999999999,69.49700000000001,33.456999999999994,270.0,63.482,19.514999999999986,270.0,167.499,168.49599999999998,163.535,167.50900000000001,270.0,270.0,270.0,270.0,270.0,270.0,0.28
292.458,297.487,269.526,261.54,252.529,323.451,323.446,299.539,291.517,275.51,238.51,0.0,308.495,266.491,0.0,284.554,299.459,279.494,307.523,0.0,0.0,0.0,0.0,0.0,0.0,161.45600000000002,137.453,138.515,101.49100000000001,73.5,132.514,87.483,61.48400000000001,66.49000000000001,69.512,33.48400000000001,270.0,63.49000000000001,20.492999999999995,270.0,167.483,168.47,164.503,168.462,270.0,270.0,270.0,270.0,270.0,270.0,0.32
291.542,297.486,269.535,262.5,252.547,322.516,323.442,299.483,291.51,275.506,238.502,0.0,308.488,266.482,0.0,284.539,298.519,278.526,307.511,0.0,0.0,0.0,0.0,0.0,0.0,161.446,137.453,138.514,102.49700000000001,73.52199999999999,132.514,86.507,59.52799999999999,66.49000000000001,69.505,33.52799999999999,270.0,63.489000000000004,19.53200000000001,270.0,166.49599999999998,167.499,164.488,168.464,270.0,270.0,270.0,270.0,270.0,270.0,0.36
291.537,297.495,270.505,262.507,252.542,322.516,322.504,299.459,291.518,275.511,238.508,0.0,308.495,265.511,0.0,284.537,298.513,278.525,307.51,0.0,0.0,0.0,0.0,0.0,0.0,161.449,137.454,138.514,102.495,73.512,132.521,86.5,59.5,66.481,69.493,33.516999999999996,270.0,62.51400000000001,19.52000000000001,270.0,166.49599999999998,167.497,164.48399999999998,167.51600000000002,270.0,270.0,270.0,270.0,270.0,270.0,0.4
291.535,297.497,270.508,262.516,252.544,323.449,322.498,299.479,291.517,275.51,238.499,0.0,308.498,266.468,0.0,284.536,298.508,278.526,307.508,0.0,0.0,0.0,0.0,0.0,0.0,161.45,137.453,138.507,102.5,73.51400000000001,132.521,86.507,59.52799999999999,66.477,69.487,33.516999999999996,270.0,62.51400000000001,20.49199999999999,270.0,166.497,167.497,164.487,168.45999999999998,270.0,270.0,270.0,270.0,270.0,270.0,0.44
291.532,297.503,270.51,262.522,252.548,323.453,322.514,299.472,291.506,275.5,237.535,0.0,308.484,266.471,0.0,284.536,298.507,279.486,307.505,0.0,0.0,0.0,0.0,0.0,0.0,161.454,137.45,138.507,102.494,73.525,132.507,86.511,59.507000000000005,66.469,68.50899999999999,33.52600000000001,270.0,62.513000000000005,21.512,270.0,166.50799999999998,167.501,164.49599999999998,167.512,270.0,270.0,270.0,270.0,270.0,270.0,0.48
291.53,297.502,270.513,262.521,252.551,323.451,322.512,299.454,291.517,275.507,237.529,0.0,308.499,265.512,0.0,284.537,298.508,279.487,307.508,0.0,0.0,0.0,0.0,0.0,0.0,161.45499999999998,137.453,138.51,102.50999999999999,73.531,132.511,86.505,59.50800000000001,66.469,68.50899999999999,33.53200000000001,270.0,62.508999999999986,21.491000000000014,270.0,166.517,167.502,164.525,168.465,270.0,270.0,270.0,270.0,270.0,270.0,0.52
291.529,297.496,270.493,262.508,252.548,323.45,322.5,298.515,291.521,275.513,237.522,0.0,308.5,266.464,0.0,284.536,298.507,279.481,307.506,0.0,0.0,0.0,0.0,0.0,0.0,161.45,137.45,138.503,102.49799999999999,73.51599999999999,132.513,86.494,59.492999999999995,66.465,68.506,33.52699999999999,270.0,62.498999999999995,21.492999999999995,270.0,166.51,167.493,164.513,167.51600000000002,270.0,270.0,270.0,270.0,270.0,270.0,0.56
291.529,297.496,270.497,262.512,252.547,322.516,322.5,299.46,291.516,275.516,237.518,0.0,308.484,265.513,0.0,284.536,298.505,279.482,307.504,0.0,0.0,0.0,0.0,0.0,0.0,161.447,137.449,138.503,102.501,73.523,132.511,86.49600000000001,59.52000000000001,66.46799999999999,68.50999999999999,33.53399999999999,270.0,62.50200000000001,21.49199999999999,270.0,166.503,167.487,164.505,167.50799999999998,270.0,270.0,270.0,270.0,270.0,270.0,0.6
291.53,297.498,270.501,262.515,252.544,322.517,322.494,299.46,291.516,275.517,237.513,0.0,308.484,265.514,0.0,284.537,298.506,279.482,307.505,0.0,0.0,0.0,0.0,0.0,0.0,161.445,137.451,138.504,102.499,73.51599999999999,132.513,86.50200000000001,59.519000000000005,66.469,68.50999999999999,33.535,270.0,62.501000000000005,21.488,270.0,166.497,167.483,164.494,167.498,270.0,270.0,270.0,270.0,270.0,270.0,0.64
291.53,297.503,270.507,262.524,252.547,323.448,322.5,299.471,291.522,275.52,237.52,0.0,308.493,266.491,0.0,284.535,298.505,279.484,307.506,0.0,0.0,0.0,0.0,0.0,0.0,161.442,137.451,138.505,102.50299999999999,73.52799999999999,132.513,86.50999999999999,59.528999999999996,66.47,68.50999999999999,33.535,270.0,62.50399999999999,21.508999999999986,270.0,166.49,167.477,164.486,167.494,270.0,270.0,270.0,270.0,270.0,270.0,0.68
291.526,297.498,270.497,262.509,252.538,323.45,322.512,299.464,291.512,275.506,237.508,0.0,308.483,266.482,0.0,284.533,298.502,278.521,307.506,0.0,0.0,0.0,0.0,0.0,0.0,160.518,137.45,138.501,101.51599999999999,73.511,132.516,87.49700000000001,59.51400000000001,65.531,68.511,34.46100000000001,270.0,62.492999999999995,21.5,270.0,166.488,166.519,164.49599999999998,167.49,270.0,270.0,270.0,270.0,270.0,270.0,0.72
291.524,297.497,270.492,262.499,252.534,323.449,323.446,299.472,291.514,275.508,237.512,0.0,308.483,266.487,0.0,284.532,298.497,278.516,307.501,0.0,0.0,0.0,0.0,0.0,0.0,160.515,137.449,138.496,101.50899999999999,73.50299999999999,132.52,88.46600000000001,59.501000000000005,66.464,68.50899999999999,33.535,270.0,62.502999999999986,21.494,270.0,166.485,166.513,164.495,167.48399999999998,270.0,270.0,270.0,270.0,270.0,270.0,0.76
