LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(308.517, 168.47899999999998);(323.456, 85.501);(301.538, 170.4562);(0.0, 0);(308.504, 62.494);(266.492, 19.518);(322.49, 133.51);(0.0, 0);(299.471, 59.516999999999996);(291.512, 65.53200000000001);(295.518, 137.466);(298.509, 162.54500000000002);(0.0, 0);(0.0, 0);(282.482, 166.50799999999998);(260.538, 99.517);(291.484, 169.517);(0.0, 0);(275.485, 68.50399999999999);(237.519, 34.471000000000004);(268.552, 138.501);(0.0, 0);(252.494, 73.453);0.0
(0.0, 0);(0.0, 0);(178.472, 161.463);(188.515, 90.489);(172.507, 161.522);(0.0, 0);(179.481, 68.51400000000001);(206.491, 32.504999999999995);(184.494, 134.512);(0.0, 0);(196.472, 106.511);(164.472, 66.51400000000001);(162.474, 130.548);(168.496, 154.548);(0.0, 0);(0.0, 0);(151.489, 161.495);(136.499, 81.495);(163.447, 161.513);(0.0, 0);(149.506, 65.46600000000001);(184.492, 20.495000000000005);(138.481, 129.513);(0.0, 0);(149.536, 98.5);0.04
(0.0, 0);(0.0, 0);(178.483, 160.514);(188.478, 90.495);(172.501, 161.522);(0.0, 0);(179.479, 68.50299999999999);(206.497, 32.50200000000001);(184.514, 134.515);(0.0, 0);(196.489, 107.50999999999999);(164.465, 66.50200000000001);(162.462, 130.547);(167.505, 154.555);(0.0, 0);(0.0, 0);(150.503, 161.503);(136.507, 81.488);(162.503, 161.536);(0.0, 0);(149.492, 65.45400000000001);(184.5, 20.501000000000005);(137.496, 129.503);(0.0, 0);(148.53, 97.505);0.08
(0.0, 0);(0.0, 0);(178.49, 160.51600000000002);(187.503, 90.52699999999999);(172.491, 161.519);(0.0, 0);(179.484, 68.512);(206.503, 32.494);(184.495, 135.477);(0.0, 0);(196.469, 103.5);(164.463, 66.50800000000001);(161.495, 130.545);(167.486, 154.553);(0.0, 0);(0.0, 0);(150.503, 161.50900000000001);(135.505, 81.47800000000001);(162.493, 161.534);(0.0, 0);(149.484, 65.45500000000001);(184.501, 20.495000000000005);(136.507, 129.502);(0.0, 0);(147.543, 96.512);0.12
(0.0, 0);(0.0, 0);(178.484, 161.46699999999998);(187.53, 94.488);(172.477, 161.531);(0.0, 0);(179.477, 68.51499999999999);(206.5, 32.49000000000001);(184.505, 135.478);(0.0, 0);(193.507, 99.488);(164.462, 66.50999999999999);(161.518, 130.547);(166.516, 154.56);(0.0, 0);(0.0, 0);(150.497, 161.511);(134.495, 81.517);(162.479, 161.542);(0.0, 0);(149.484, 65.459);(184.488, 20.506);(137.481, 129.509);(0.0, 0);(147.496, 96.47300000000001);0.16
(0.0, 0);(0.0, 0);(178.466, 161.465);(188.49, 97.487);(172.459, 161.526);(0.0, 0);(179.48, 67.53299999999999);(206.493, 32.504999999999995);(183.515, 135.475);(0.0, 0);(188.537, 96.501);(164.467, 66.49199999999999);(161.513, 130.534);(166.491, 155.48000000000002);(0.0, 0);(0.0, 0);(150.485, 161.50400000000002);(136.503, 80.517);(162.47, 161.529);(0.0, 0);(149.499, 64.51599999999999);(184.488, 20.49000000000001);(137.497, 129.489);(0.0, 0);(147.524, 95.495);0.2
(0.0, 0);(0.0, 0);(177.513, 161.46800000000002);(188.535, 89.50299999999999);(171.542, 161.538);(0.0, 0);(179.485, 68.5);(206.506, 32.47999999999999);(183.5, 134.516);(0.0, 0);(187.521, 98.54599999999999);(164.481, 66.501);(161.5, 130.533);(165.54, 155.49599999999998);(0.0, 0);(0.0, 0);(149.519, 161.49200000000002);(136.499, 81.44900000000001);(161.517, 161.543);(0.0, 0);(149.515, 65.45500000000001);(185.475, 19.531000000000006);(137.49, 129.484);(0.0, 0);(149.532, 97.47399999999999);0.24
(0.0, 0);(0.0, 0);(177.511, 161.469);(188.536, 90.47300000000001);(171.541, 161.537);(0.0, 0);(179.498, 68.519);(206.497, 32.50399999999999);(181.536, 135.489);(0.0, 0);(189.503, 104.488);(164.494, 66.52000000000001);(160.491, 130.545);(165.536, 155.49599999999998);(0.0, 0);(0.0, 0);(149.513, 161.499);(136.506, 80.505);(161.514, 161.542);(0.0, 0);(149.528, 65.482);(184.505, 20.50800000000001);(136.513, 129.493);(0.0, 0);(156.475, 99.49700000000001);0.28
(0.0, 0);(0.0, 0);(177.514, 161.47);(187.536, 90.52099999999999);(171.542, 161.536);(0.0, 0);(179.481, 68.49799999999999);(206.493, 32.50800000000001);(183.499, 134.507);(0.0, 0);(192.513, 103.49100000000001);(164.48, 66.49700000000001);(161.484, 130.545);(165.538, 155.493);(0.0, 0);(0.0, 0);(149.513, 161.49599999999998);(136.49, 80.506);(161.514, 161.54000000000002);(0.0, 0);(149.516, 64.511);(183.519, 20.524);(136.513, 129.499);(0.0, 0);(159.509, 98.512);0.32
(0.0, 0);(0.0, 0);(177.516, 161.474);(188.528, 90.535);(171.543, 161.538);(0.0, 0);(179.484, 68.523);(206.485, 32.50200000000001);(182.51, 135.508);(0.0, 0);(195.462, 109.507);(164.484, 66.50200000000001);(160.518, 131.485);(165.536, 155.498);(0.0, 0);(0.0, 0);(149.52, 161.503);(136.487, 80.499);(161.516, 161.546);(0.0, 0);(149.523, 64.506);(184.489, 20.52199999999999);(136.517, 129.51);(0.0, 0);(154.484, 93.50800000000001);0.36
